shark_seq_number	p16S_shark_12SPCR.30C.Coastal.Skew1.2.S37.L001	p16S_shark_12SPCR.30C.Coastal.Skew1.3.S45.L001	p16S_shark_12SPCR.30C.Coastal.Skew2.1.S30.L001	p16S_shark_12SPCR.30C.North.Even.1.S34.L001	p16S_shark_12SPCR.30C.North.Even.3.S50.L001	p16S_shark_12SPCR.30C.North.Skew1.1.S35.L001	p16S_shark_12SPCR.30C.North.Skew1.2.S43.L001	p16S_shark_12SPCR.30C.North.Skew2.3.S54.L001	p16S_shark_12SPCR.30C.Oceanic.Even.2.S39.L001	p16S_shark_12SPCR.30C.Oceanic.Even.3.S47.L001	p16S_shark_12SPCR.30C.Oceanic.Skew1.3.S48.L001	p16S_shark_12SPCR.30C.Oceanic.Skew2.2.S41.L001	p16S_shark_12SPCR.30C.Oceanic.Skew2.3.S49.L001	p16S_shark_12SPCR.33C.Coastal.Even.2.S63.L001	p16S_shark_12SPCR.33C.Coastal.Even.3.S71.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.1.S56.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.2.S64.L001	p16S_shark_12SPCR.33C.Coastal.Skew1.3.S72.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.1.S57.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.2.S65.L001	p16S_shark_12SPCR.33C.North.Even.1.S61.L001	p16S_shark_12SPCR.33C.North.Even.2.S69.L001	p16S_shark_12SPCR.33C.North.Even.3.S77.L001	p16S_shark_12SPCR.33C.North.Skew2.1.S79.L001	p16S_shark_12SPCR.33C.North.Skew2.2.S80.L001	p16S_shark_12SPCR.33C.Oceanic.Even.1.S58.L001	p16S_shark_12SPCR.33C.Oceanic.Even.2.S66.L001	p16S_shark_12SPCR.33C.Oceanic.Even.3.S74.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.1.S59.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.2.S67.L001	p16S_shark_12SPCR.33C.Oceanic.Skew1.3.S75.L001	p16S_shark_12SPCR.33C.Oceanic.Skew2.2.S68.L001	p16S_shark_12SPCR.33C.Oceanic.Skew2.3.S76.L001	p16S_shark_12SPCR.36C.Coastal.Even.2.S90.L001	p16S_shark_12SPCR.36C.Coastal.Even.3.S98.L001	p16S_shark_12SPCR.36C.Coastal.Skew1.1.S83.L001	p16S_shark_12SPCR.36C.Coastal.Skew1.3.S99.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.1.S84.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.2.S92.L001	p16S_shark_12SPCR.36C.Coastal.Skew2.3.S100.L001	p16S_shark_12SPCR.36C.North.Even.1.S88.L001	p16S_shark_12SPCR.36C.North.Even.2.S96.L001	p16S_shark_12SPCR.36C.North.Skew1.3.S105.L001	p16S_shark_12SPCR.36C.North.Skew2.2.S106.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.2.S94.L001	p16S_shark_12SPCR.36C.Oceanic.Skew2.1.S87.L001	p16S_shark_12SPCR.39C.Blackfin.Tuna.S133.L001	p16S_shark_12SPCR.39C.Coastal.Even.2.S115.L001	p16S_shark_12SPCR.39C.Coastal.Even.3.S121.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.2.S116.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.1.S135.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.2.S117.L001	p16S_shark_12SPCR.39C.Coastal.Skew2.3.S123.L001	p16S_shark_12SPCR.39C.North.Even.1.S113.L001	p16S_shark_12SPCR.39C.North.Skew1.2.S120.L001	p16S_shark_12SPCR.39C.North.Skew1.3.S128.L001	p16S_shark_12SPCR.39C.North.Skew2.3.S131.L001	p16S_shark_12SPCR.39C.Oceanic.Even.1.S110.L001	p16S_shark_12SPCR.39C.Oceanic.Even.2.S136.L001	p16S_shark_12SPCR.39C.Oceanic.Even.3.S124.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.1.S111.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.2.S118.L001	p16S_shark_12SPCR.39C.Oceanic.Skew1.3.S125.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.1.S112.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.2.S137.L001	p16S_shark_12SPCR.39C.Tilapia.S132.L001	p16S_shark_16SPCR.Coastal.Even.1.S1.L001	p16S_shark_16SPCR.Coastal.Even.2.S9.L001	p16S_shark_16SPCR.Coastal.Even.3.S17.L001	p16S_shark_16SPCR.Coastal.Skew1.1.S2.L001	p16S_shark_16SPCR.Coastal.Skew1.2.S10.L001	p16S_shark_16SPCR.Coastal.Skew1.3.S18.L001	p16S_shark_16SPCR.Coastal.Skew2.1.S3.L001	p16S_shark_16SPCR.Coastal.Skew2.2.S11.L001	p16S_shark_16SPCR.Coastal.Skew2.3.S19.L001	p16S_shark_16SPCR.North.Even.1.S7.L001	p16S_shark_16SPCR.North.Even.2.S15.L001	p16S_shark_16SPCR.North.Even.3.S23.L001	p16S_shark_12SPCR.30C.Coastal.Skew1.1.S29.L001	p16S_shark_12SPCR.30C.North.Even.2.S42.L001	p16S_shark_12SPCR.30C.North.Skew1.3.S51.L001	p16S_shark_12SPCR.30C.North.Skew2.2.S53.L001	p16S_shark_12SPCR.30C.Oceanic.Even.1.S31.L001	p16S_shark_12SPCR.30C.Oceanic.Skew1.2.S40.L001	p16S_shark_12SPCR.33C.Coastal.Skew2.3.S73.L001	p16S_shark_12SPCR.36C.North.Even.3.S104.L001	p16S_shark_12SPCR.36C.North.Skew1.2.S97.L001	p16S_shark_12SPCR.36C.North.Skew2.1.S134.L001	p16S_shark_12SPCR.36C.North.Skew2.3.S107.L001	p16S_shark_12SPCR.36C.Oceanic.Even.1.S85.L001	p16S_shark_12SPCR.36C.Oceanic.Even.3.S101.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.1.S86.L001	p16S_shark_12SPCR.36C.Oceanic.Skew1.3.S102.L001	p16S_shark_12SPCR.36C.Oceanic.Skew2.3.S103.L001	p16S_shark_12SPCR.39C.Coastal.Even.1.S108.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.1.S109.L001	p16S_shark_12SPCR.39C.Coastal.Skew1.3.S122.L001	p16S_shark_12SPCR.39C.North.Even.3.S127.L001	p16S_shark_12SPCR.39C.North.Skew1.1.S114.L001	p16S_shark_12SPCR.39C.North.Skew2.1.S129.L001	p16S_shark_12SPCR.39C.North.Skew2.2.S130.L001	p16S_shark_12SPCR.39C.Oceanic.Skew2.3.S126.L001	taxonomy	taxonomy_confidence	accessions
forward_p16S_shark_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1
forward_p16S_shark_122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	EF119247.1;EF119314.1;KR153504.1;EF119271.1;EF458449.1;EF458422.1;KJ010565.1;EF458349.1
forward_p16S_shark_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unclassified		
forward_p16S_shark_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1
forward_p16S_shark_125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:96.0;order:96.0;family:96.0;genus:96.0;species:96.0;	EF119314.1;EF119271.1;EF119247.1;EF458449.1;KR153504.1;KJ010565.1;EF458422.1
forward_p16S_shark_126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KR153504.1
forward_p16S_shark_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:97.0;order:97.0;family:97.0;genus:97.0;species:97.0;	EF119247.1;EF119314.1;KJ010631.1;EF119271.1;EF458449.1;KR779493.1;EF458370.1;EF458422.1;KR153504.1;KJ010565.1;KJ010594.1;KJ010613.1;KJ010692.1;KJ010575.1;EF458358.1;KR779502.1;EF458355.1;KJ010611.1;KR779496.1;EF119319.1;KR779492.1;EF458357.1;KJ010695.1;KJ010694.1;EF119269.2;EF458380.1;EF458349.1;EF458480.1;EF119264.1;EF119253.1;EF458381.1;KR779510.1
forward_p16S_shark_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:96.0;order:96.0;family:96.0;genus:96.0;species:96.0;	EF119314.1;EF119247.1;KR153504.1;EF119271.1;EF458449.1;KJ010565.1;EF458422.1
forward_p16S_shark_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:98.0;order:98.0;family:98.0;genus:98.0;species:98.0;	EF119247.1;EF119314.1;EF119271.1;EF458449.1;KR153504.1;KJ010565.1;EF458422.1;EF458349.1
forward_p16S_shark_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:99.3333333333;order:99.3333333333;family:99.3333333333;genus:99.3333333333;species:99.3333333333;	KR153504.1;EF119247.1;EF458422.1;KJ010686.1;EF446572.1;EF458349.1
forward_p16S_shark_131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:95.0;order:95.0;family:95.0;genus:95.0;species:95.0;	EF119314.1;EF119247.1;EF119271.1;EF458449.1;KJ010565.1;EF458422.1;KR153504.1;EF458349.1;KJ010738.1
forward_p16S_shark_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:97.0;order:97.0;family:97.0;genus:97.0;species:97.0;	EF119247.1;EF119314.1;KJ010631.1;EF119271.1;KJ010611.1;EF458449.1;EF458422.1;KJ010565.1;KJ010594.1;KJ010613.1;KJ010692.1;KR153504.1;KJ010575.1;EF458355.1;KR779496.1;EF458380.1;EF119269.2;EF119319.1;KR779492.1;KR779510.1;EF458381.1;KJ010695.1;EF458357.1;KJ010694.1;EF458349.1;EF458480.1;EF119253.1;EF119264.1
forward_p16S_shark_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Carcharhiniformes;family:Triakidae;genus:Triakis;species:Triakis semifasciata;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY958599.1;AY462190.1;EU848452.1;KJ128839.1;AY462189.1;HQ010108.1;KJ128776.1;KU577279.1;KJ010763.1;AY958675.1;KU577280.1;KR703623.1;LC163978.1;AY820736.1;AY462187.1;AY462151.1;AY462148.1;HM239661.1;AY462150.1;KR703622.1;GU324148.1;KU577281.1;MF134848.1;MF134847.1;AY462173.1;KJ466999.1;AY958661.1;KJ170949.1;AY462175.1;AY049049.1;AY462183.1;AY462176.1;KR149232.1;AY462177.1
forward_p16S_shark_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1
forward_p16S_shark_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1;KX688087.1
forward_p16S_shark_136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364988.1;KM364983.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Rhinopristiformes;family:Rhinobatidae;genus:Aptychotrema;species:Aptychotrema vincentiana;	superkingdom:100.0;phylum:100.0;class:92.0;order:92.0;family:92.0;genus:92.0;species:92.0;	KR779499.1;KJ879039.1;EF446579.1;KJ010620.1;KJ010656.1;KR153504.1;KJ010592.1;EF458480.1;KJ879035.1;EF446588.1;EF119265.1;EF458376.1;KJ879127.1;EF458472.1;EF119283.1;EF119255.1;KJ010730.1;EF119323.1;EF458420.1;KJ010573.1;KJ010689.1;KJ010712.1;EF458436.1;EF458394.1;KJ010623.1;KJ010742.1;EF458443.1;EF458432.1;KJ010604.1
forward_p16S_shark_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364988.1;KM364983.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364983.1;KM364988.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364988.1;KM364983.1;KM364982.1;KM364991.1;KM364993.1
forward_p16S_shark_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Chondrichthyes;order:Myliobatiformes;family:Myliobatidae;genus:Myliobatis;species:Myliobatis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF317716.1;KM364985.1;EU848472.1;KX688083.1;KM364984.1;KM364988.1;KM364983.1;KM364982.1;KM364991.1;KM364993.1
